date,Time,Count15,Count30,Count60,weekday,zone,timestamp,sequence,tag,lane,speed(kph),average_speed(kph),direction,class_number,class_name,axle_count,wheelbase(m),length(m),presence,width(m),distance(m),min_distance(m),max_distance(m),VC15,VC30,VC60
2/8/2014,10:40:25 AM,12:03:20,14:03:20,18:03:20,Saturday,,1391856025,,,Lane 2,111,111,>,1,Short Vehicle,2,2.717,,,13.6,64.2,57.3,71.1,0,0,1082
2/8/2014,10:40:33 AM,12:18:20,14:33:20,19:03:20,Saturday,,1391856033,,,Lane 1,96.4,96.4,>,1,Short Vehicle,2,2.641,,,14.3,33.2,26.1,40.4,0,0,750
2/8/2014,10:40:46 AM,12:33:20,15:03:20,20:03:20,Saturday,,1391856046,,,Lane 1,102.7,103.1,>,3,Two Axle Truck or Bus,2,3.361,,,15.8,31.1,22.9,39.4,0,0,369
2/8/2014,10:40:49 AM,12:48:20,15:33:20,21:03:20,Saturday,,1391856049,,,Lane 1,105,105.1,>,1,Short Vehicle,2,3.177,,,11.3,28.9,22.2,35.6,0,0,135
2/8/2014,10:40:57 AM,13:03:20,16:03:20,22:03:20,Saturday,,1391856057,,,Lane 1,69.4,69.3,>,1,Short Vehicle,2,3.096,,,14.4,27.4,20.2,34.7,0,0,132
2/8/2014,10:41:25 AM,13:18:20,16:33:20,23:03:20,Saturday,,1391856085,,,Lane 2,102.2,102.3,>,1,Short Vehicle,2,2.631,,,14,63.2,56.1,70.3,0,0,0
2/8/2014,10:41:27 AM,13:33:20,17:03:20,0:03:20,Saturday,,1391856087,,,Lane 1,119,118.9,>,1,Short Vehicle,2,2.846,,,14.2,37.5,30.2,44.8,0,0,35
2/8/2014,10:41:54 AM,13:48:20,17:33:20,1:03:20,Saturday,,1391856114,,,Lane 1,85.5,85.2,>,1,Short Vehicle,2,2.525,,,12.1,33.3,26.7,39.8,0,0,145
2/8/2014,10:42:14 AM,14:03:20,18:03:20,2:03:20,Saturday,,1391856134,,,Lane 2,128.7,128.9,>,1,Short Vehicle,2,2.853,,,15,61.3,53.7,68.8,0,0,278
2/8/2014,10:42:21 AM,14:18:20,18:33:20,3:03:20,Saturday,,1391856141,,,Lane 2,114.7,114.5,>,1,Short Vehicle,2,2.856,,,14.5,64.5,57.1,71.9,0,0,383
2/8/2014,10:42:26 AM,14:33:20,19:03:20,4:03:20,Saturday,,1391856146,,,Lane 2,109.2,109,>,1,Short Vehicle,2,2.666,,,12.8,57.8,51.3,64.3,0,0,219
2/8/2014,10:43:33 AM,14:48:20,19:33:20,5:03:20,Saturday,,1391856213,,,Lane 1,107.7,107.7,>,1,Short Vehicle,2,3.088,,,14,31.1,24,38.1,0,0,177
2/8/2014,10:43:43 AM,15:03:20,20:03:20,6:03:20,Saturday,,1391856223,,,Lane 1,109,108.9,>,1,Short Vehicle,2,2.855,,,13.9,34,26.3,41.8,0,0,181
2/8/2014,10:43:44 AM,15:18:20,20:33:20,7:03:20,Saturday,,1391856224,,,Lane 2,101.3,101.5,>,1,Short Vehicle,2,3.019,,,15.2,58.3,50.4,66.2,0,0,204
2/8/2014,10:44:15 AM,15:33:20,21:03:20,8:03:20,Saturday,,1391856255,,,Lane 2,105.2,105.1,>,3,Two Axle Truck or Bus,2,3.222,,,15.3,51.9,43.9,59.8,0,0,198
2/8/2014,10:44:21 AM,15:48:20,21:33:20,9:03:20,Saturday,,1391856261,,,Lane 2,110.4,110.5,>,1,Short Vehicle,2,2.86,,,13.7,63.5,56.4,70.5,0,0,172
